# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Fri Aug 23 11:02:49 CDT 2024 [seed=1724428969014]
# -beagle_sse aligned_SAT1.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	tmrca(untitled0)	age(untitled0)	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-12027.96936400326	-58.791833349370904	-11969.17753065389	3.2628537764445653	2013.4857801033368	13.399844171132118	3.2628537764445653	2013.4857801033368	1.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0	1.0	-11969.17753065389	0.0	-46.043645209573114
1000	-6425.069995425909	-39.65249843838854	-6385.41749698752	2.917058957451692	2013.8315749223298	6.835475994587832	2.917058957451692	2013.8315749223298	1.4589178233300055	4.71193912915989	0.25288666978857055	0.26378531128847094	0.2601357560856291	0.22319226283732937	0.5375754799044913	0.5375754799044915	-6385.41749698752	0.0	-35.302003187867584
2000	-4927.433628625552	-45.55498447251796	-4881.878644153034	2.783212255912332	2013.9654216238691	7.369984537516282	2.783212255912332	2013.9654216238691	1.4153386072434884	10.584064264570085	0.24342832214106697	0.29765687937846586	0.24040589011602667	0.21850890836444053	0.19049017077455022	0.1904901707745502	-4881.878644153034	0.0	-42.75814820810004
3000	-4272.244255029799	-59.84215093917664	-4212.402104090623	2.829347856138254	2013.9192860236433	11.96891747036274	2.829347856138254	2013.9192860236433	1.560494092107409	9.517166102190656	0.2304333362480504	0.29765687937846586	0.25340087600904326	0.21850890836444053	0.08284472929733325	0.08284472929733326	-4212.402104090623	0.0	-58.2138713763932
4000	-4143.945115453558	-65.55102021727632	-4078.3940952362823	2.832541532759362	2013.9160923470222	14.192996692695331	2.832541532759362	2013.9160923470222	2.3615711852392063	9.281960372598434	0.2396639422097099	0.29765687937846586	0.25340087600904326	0.20927830240278103	0.07882573655630423	0.07882573655630425	-4078.3940952362823	0.0	-63.536179431921035
5000	-4140.316882079277	-73.98163892435765	-4066.335243154919	2.8596356642970964	2013.8889982154844	15.604978200365071	2.8596356642970964	2013.8889982154844	2.6956829410958694	11.131416021663302	0.21934707466358552	0.3076771232863731	0.25695765504775875	0.2160181470022826	0.06217229724458281	0.062172297244582814	-4066.335243154919	0.0	-71.81406321444437
6000	-4119.0707254961535	-72.0329155765143	-4047.037809919639	2.8962067667498603	2013.8524271130316	15.89469699294072	2.8962067667498603	2013.8524271130316	2.9717552401233704	10.71070363283938	0.22792044461661082	0.311524736856838	0.2531100414772938	0.20744477704925732	0.058613572376976744	0.05861357237697674	-4047.037809919639	0.0	-69.91787509482747
7000	-4117.208850858891	-76.49066927705968	-4040.7181815818317	2.8502700634098885	2013.8983638163716	16.953769963232954	2.8502700634098885	2013.8983638163716	4.278017529625914	9.79060547146779	0.2524363540570772	0.2776208638883955	0.2531100414772938	0.21683274057723345	0.05775957567543785	0.05775957567543784	-4040.7181815818317	0.0	-74.16934971315546
8000	-4119.178844632366	-74.8868466575931	-4044.291997974773	2.847568004378498	2013.901065875403	15.95935449169518	2.847568004378498	2013.901065875403	2.540941399601685	9.250693817543295	0.21618681855845107	0.3187128527706102	0.24826758809370528	0.21683274057723345	0.062195419914245466	0.06219541991424544	-4044.291997974773	0.0	-73.10812298143675
9000	-4117.020790824641	-77.80505501877131	-4039.2157358058703	2.9336747577570716	2013.8149591220244	17.886590430777503	2.9336747577570716	2013.8149591220244	4.500850003245048	7.9200230211071	0.23577981500553374	0.313170958244913	0.24397835026397727	0.207070876485576	0.05397294426242371	0.05397294426242374	-4039.2157358058703	0.0	-75.8790237676096
10000	-4114.7946545646455	-81.59099288956713	-4033.2036616750784	3.0296942426619458	2013.7189396371195	18.919941360347853	3.0296942426619458	2013.7189396371195	5.5263966386498335	7.9200230211071	0.24735559516489947	0.313170958244913	0.2418707727974638	0.19760267379272375	0.04926786632627607	0.04926786632627606	-4033.2036616750784	0.0	-79.56662670727324
11000	-4108.895670810845	-82.82265591856546	-4026.0730148922803	3.220742103779276	2013.5278917760022	20.675279019595155	3.220742103779276	2013.5278917760022	4.1318604660054765	9.25843668553534	0.24735559516489947	0.32970385083209375	0.2418707727974638	0.181069781205543	0.044355908747842454	0.044355908747842454	-4026.0730148922803	0.0	-80.93023892585107
12000	-4105.992425178468	-84.59149478657159	-4021.400930391896	3.372994914391177	2013.3756389653902	21.83934834494714	3.372994914391177	2013.3756389653902	4.0590609462591924	9.798721337893417	0.24735559516489947	0.298460166698668	0.2418707727974638	0.21231346533896878	0.04369091140632314	0.043690911406323134	-4021.400930391896	0.0	-82.6124525041575
13000	-4109.136354991818	-89.28013642600946	-4019.856218565808	3.765848100471849	2012.9827857793096	25.396626802471083	3.765848100471849	2012.9827857793096	5.199723064915298	12.085675191413044	0.24735559516489947	0.298460166698668	0.2418707727974638	0.21231346533896878	0.037187600321831674	0.03718760032183166	-4019.856218565808	0.0	-86.82322071993613
14000	-4112.857850019091	-100.93627892513469	-4011.921571093956	3.938457111429862	2012.8101767683515	29.191645519238964	3.938457111429862	2012.8101767683515	4.087775646600551	10.906941845955972	0.25095250333928054	0.298460166698668	0.2535075102164627	0.1970798197455888	0.03160280338563722	0.031602803385637215	-4011.921571093956	0.0	-99.0901112424689
15000	-4107.7549522688805	-98.29376673654795	-4009.4611855323324	4.101492033915065	2012.6471418458664	31.020367848890654	4.101492033915065	2012.6471418458664	6.232123009557831	11.108348726263927	0.24760952296870944	0.298460166698668	0.23315098417851687	0.2207793261541057	0.030003553406522002	0.030003553406521995	-4009.4611855323324	0.0	-96.03937020510905
16000	-4102.13181102509	-101.14700194195555	-4000.9848090831347	3.980680208754794	2012.7679536710266	32.29375599420061	3.980680208754794	2012.7679536710266	7.670107062392924	10.913510109424248	0.24760952296870944	0.3186620870682311	0.22723086205222504	0.20649752791083442	0.03022449714375643	0.030224497143756416	-4000.9848090831347	0.0	-98.68963468422042
17000	-4112.032742533315	-101.87331546113361	-4010.159427072182	4.640399143632344	2012.1082347361491	34.73454162170124	4.640399143632344	2012.1082347361491	7.6257628888133615	11.83210344911531	0.20969666160381872	0.3273393814028461	0.25581033695405064	0.2071536200392846	0.02678062184304624	0.026780621843046234	-4010.159427072182	0.0	-99.40971576808612
18000	-4113.093354462038	-103.90886021728426	-4009.184494244754	4.891894820784582	2011.856739058997	38.058573281963696	4.891894820784582	2011.856739058997	8.788948312320429	9.797247588062891	0.20969666160381872	0.31309431416489714	0.25427419018580666	0.2229348340454775	0.025623192131802867	0.02562319213180287	-4009.184494244754	0.0	-101.68107491018468
19000	-4124.436729253939	-103.03766235996778	-4021.3990668939714	4.822529121497817	2011.9261047582836	37.5947112154752	4.822529121497817	2011.9261047582836	6.965608082785314	9.454382347668604	0.21686936513156485	0.321590515005515	0.23860528581744264	0.2229348340454775	0.024219075743841342	0.02421907574384134	-4021.3990668939714	0.0	-101.19355473360459
20000	-4110.076866346583	-102.27037762723272	-4007.8064887193505	4.563794765496092	2012.1848391142853	34.76484504934587	4.563794765496092	2012.1848391142853	6.723207381089283	9.454382347668604	0.22494201260823438	0.3135178675288455	0.23860528581744264	0.2229348340454775	0.028206372011097245	0.028206372011097245	-4007.8064887193505	0.0	-100.27627656708385
21000	-4114.152128342329	-103.58131431766621	-4010.570814024663	4.412265896317672	2012.3363679834638	36.125569128094504	4.412265896317672	2012.3363679834638	7.841786644357988	11.504329676237854	0.2381014357508971	0.30035844438618275	0.23860528581744264	0.2229348340454775	0.02614527068161951	0.026145270681619523	-4010.570814024663	0.0	-101.16140343834495
22000	-4115.891818552982	-106.41904096182454	-4009.472777591157	4.862236815124767	2011.8863970646566	39.62683098281435	4.862236815124767	2011.8863970646566	9.45344418663527	9.696894563168383	0.2655411787763504	0.31112752911051067	0.24286960734199048	0.1804616847711484	0.025699859831937247	0.02569985983193726	-4009.472777591157	0.0	-104.11255596137423
23000	-4114.230357064387	-107.99057903398483	-4006.2397780304027	4.954008870074701	2011.7946250097068	41.856820070991006	4.954008870074701	2011.7946250097068	7.512020501186911	9.792769656572608	0.24224233447197077	0.3011592081027148	0.22408717233177847	0.23251128509353594	0.02266392008792605	0.022663920087926052	-4006.2397780304027	0.0	-106.05608505691636
24000	-4106.828966417936	-110.39083505483087	-3996.4381313631047	5.280605175898878	2011.4680287038825	45.339866479283586	5.280605175898878	2011.4680287038825	10.280193084201994	8.302106174299876	0.24224233447197077	0.2889453016486877	0.23630107878580553	0.23251128509353594	0.0211430603634838	0.02114306036348379	-3996.4381313631047	0.0	-108.49920108176879
25000	-4117.649602074854	-112.05851560610553	-4005.5910864687485	4.77387130940435	2011.9747625703772	45.037616823549804	4.77387130940435	2011.9747625703772	10.028558431726033	10.28533862729693	0.26027160793718157	0.3048707366650056	0.23630107878580553	0.19855657661200726	0.02163398649399413	0.021633986493994138	-4005.5910864687485	0.0	-109.77916189309052
26000	-4113.187507570628	-111.94191877327289	-4001.2455887973556	5.598687212309087	2011.1499466674722	47.83611033496835	5.598687212309087	2011.1499466674722	10.01573037833522	8.288129826721681	0.23480960250258884	0.33033274209959834	0.23630107878580553	0.19855657661200726	0.019593746892745168	0.01959374689274517	-4001.2455887973556	0.0	-110.16541746645623
27000	-4105.495739194159	-115.20780962238965	-3990.2879295717694	5.722561271433253	2011.0260726083482	50.57035752593029	5.722561271433253	2011.0260726083482	12.92876292714252	8.288129826721681	0.23480960250258884	0.3250928487456956	0.24154097213970827	0.19855657661200726	0.0176295559638579	0.0176295559638579	-3990.2879295717694	0.0	-113.30237561396365
28000	-4118.162792761987	-118.76601601010827	-3999.396776751878	5.867626449447771	2010.8810074303337	52.27095855262926	5.867626449447771	2010.8810074303337	17.065616533187182	11.611680229955107	0.23666258991293593	0.3250928487456956	0.25136999594484827	0.18687456539652014	0.017928918997326196	0.0179289189973262	-3999.396776751878	0.0	-115.9313120851507
29000	-4112.575678813731	-117.66384163114496	-3994.9118371825866	5.924513375416334	2010.824120504365	53.31103794044626	5.924513375416334	2010.824120504365	12.327751895396052	10.447340317357863	0.23666258991293593	0.3250928487456956	0.25136999594484827	0.18687456539652014	0.017087429955329428	0.017087429955329435	-3994.9118371825866	0.0	-115.41473438169655
30000	-4116.229377046947	-120.00708275633642	-3996.2222942906105	6.684311307154383	2010.0643225726271	57.955502004962966	6.684311307154383	2010.0643225726271	12.020284975616706	9.229911477227757	0.24957034706786763	0.31670892914458343	0.24684615839102877	0.18687456539652014	0.016484950991313592	0.016484950991313592	-3996.2222942906105	0.0	-118.02424547879158
